dataset,model_key,prompt_strategy,model_condition,topology,minority_ratio,position_config,n,mean_ii,median_ii,std_ii,frac_internalized,frac_moscovici
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,circle,0.1,0,450,2.0494171310914004,1.7979406118971357,1.1283410167996129,0.9288888888888889,0.8755555555555555
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,circle,0.2,0,400,1.9986257589071743,1.7406261706048434,1.0944833978581476,0.9475,0.885
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,circle,0.3,0,350,2.038082835342428,1.8088534124052429,1.1144342596782133,0.94,0.8971428571428571
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,fc,0.1,0,441,1.7541866605011485,1.5721033095005554,1.1122675770343107,0.8163265306122449,0.7369614512471655
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,fc,0.2,0,392,1.863296528826446,1.7156544441727788,1.1215063780996384,0.8316326530612245,0.7959183673469388
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,fc,0.3,0,345,2.225649365530286,1.864820337247932,1.5597866647077774,0.9043478260869565,0.855072463768116
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,star,0.1,0,449,3.0160511110328505,2.429226124330074,1.9847064463815371,0.9888641425389755,0.9487750556792873
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,star,0.1,1,450,5.204148897989868,4.856156133833522,2.734133912870524,0.9844444444444445,0.9844444444444445
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,star,0.2,0,400,2.7798392597611326,2.483236952951315,1.5588976934088994,0.9725,0.9625
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,star,0.2,1,400,6.136212097017622,5.641047531004819,3.5396959489979634,1.0,1.0
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,star,0.3,0,350,3.3967541071198672,2.754985418831312,2.005694001817675,0.9971428571428571,0.9971428571428571
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,star,0.3,1,350,7.303296998114581,6.0527126798319575,4.91721809585924,0.9714285714285714,0.9685714285714285
synthetic,qwen-7b-base,rigid:rigid,model_induced,chain,0.1,0,417,1.4639588080812118,1.118476098089419,1.5652908493444062,0.7242206235011991,0.5731414868105515
synthetic,qwen-7b-base,rigid:rigid,model_induced,chain,0.1,1,422,1.7235657531161321,1.2441854440759097,1.6372452654470928,0.7582938388625592,0.6232227488151659
synthetic,qwen-7b-base,rigid:rigid,model_induced,chain,0.1,2,450,1.7014091107815668,1.2356856223943735,2.470875647602587,0.7533333333333333,0.6377777777777778
synthetic,qwen-7b-base,rigid:rigid,model_induced,chain,0.2,0,346,1.64011363838003,1.1416894875643586,2.8884685740616964,0.7283236994219653,0.569364161849711
synthetic,qwen-7b-base,rigid:rigid,model_induced,chain,0.2,1,365,1.8412303054819597,1.2588802841127196,2.0779956367082106,0.7698630136986301,0.6520547945205479
synthetic,qwen-7b-base,rigid:rigid,model_induced,chain,0.2,2,397,1.8844756741744884,1.245462865099816,3.1231213836133205,0.7556675062972292,0.6473551637279596
synthetic,qwen-7b-base,rigid:rigid,model_induced,chain,0.3,0,296,1.4798144329002367,1.1841530263213764,1.3036980883332148,0.7466216216216216,0.5912162162162162
synthetic,qwen-7b-base,rigid:rigid,model_induced,chain,0.3,1,311,1.860495132212067,1.2068126095147593,2.319273782931922,0.7652733118971061,0.6366559485530546
synthetic,qwen-7b-base,rigid:rigid,model_induced,chain,0.3,2,346,1.7262794007684445,1.2867515563987943,1.6113839901044527,0.8063583815028902,0.6820809248554913
synthetic,qwen-7b-base,rigid:rigid,model_induced,circle,0.1,0,360,1.1891957355865714,0.8741959482793814,1.712594659114428,0.5638888888888889,0.4
synthetic,qwen-7b-base,rigid:rigid,model_induced,circle,0.2,0,292,1.0780742655516773,0.8842347725813298,0.8892079408171478,0.5582191780821918,0.4143835616438356
synthetic,qwen-7b-base,rigid:rigid,model_induced,circle,0.3,0,234,1.5754529004978344,0.9062319612987795,5.1217354207187045,0.5641025641025641,0.4358974358974359
synthetic,qwen-7b-base,rigid:rigid,model_induced,fc,0.1,0,70,0.7274342994925982,0.4107901820018283,0.8629961807432014,0.2571428571428571,0.18571428571428572
synthetic,qwen-7b-base,rigid:rigid,model_induced,fc,0.2,0,50,1.272534149649134,0.7648371012796819,1.850430634881573,0.46,0.24
synthetic,qwen-7b-base,rigid:rigid,model_induced,fc,0.3,0,13,0.7428567595257363,0.6622065758942485,0.17451535777576704,0.23076923076923078,0.15384615384615385
synthetic,qwen-7b-base,rigid:rigid,model_induced,star,0.1,0,285,1.0476289589638323,0.8689274224370501,1.0860419806225845,0.5263157894736842,0.3929824561403509
synthetic,qwen-7b-base,rigid:rigid,model_induced,star,0.1,1,261,2.4935808745061885,1.3386771567095392,3.047667934303414,0.6896551724137931,0.5363984674329502
synthetic,qwen-7b-base,rigid:rigid,model_induced,star,0.2,0,189,1.2535827882339112,0.9869569745259607,1.099298915774822,0.6666666666666666,0.48677248677248675
synthetic,qwen-7b-base,rigid:rigid,model_induced,star,0.2,1,112,2.0713268218989866,0.9383743713531201,2.89982150866759,0.6607142857142857,0.4732142857142857
synthetic,qwen-7b-base,rigid:rigid,model_induced,star,0.3,0,194,1.107234360104256,0.8601012743923029,0.8137095526005224,0.5309278350515464,0.3917525773195876
synthetic,qwen-7b-base,rigid:rigid,model_induced,star,0.3,1,91,1.8403398425690913,1.3947347161870136,2.1756641239708925,0.5824175824175825,0.5824175824175825
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.1,0,1350,1.2086102036181772,0.9806419868430312,0.9249868506875456,0.7244444444444444,0.48074074074074075
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.1,1,1350,1.3356173644204452,1.0218325316286805,1.0622806154777886,0.7422222222222222,0.5214814814814814
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.1,2,1350,1.3009047663425197,1.0137385674878416,1.0644649441054654,0.7429629629629629,0.5111111111111111
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.2,0,1200,1.1981941956040938,0.9912933479553618,0.8855058776130208,0.7258333333333333,0.4875
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.2,1,1200,1.394352464689069,1.064758024998251,1.2183661458271042,0.7691666666666667,0.5641666666666667
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.2,2,1200,1.3461952678809532,1.0416618098022459,1.0839701520138818,0.7658333333333334,0.5425
