dataset,model_key,prompt_strategy,model_condition,topology,minority_ratio,position_config,n,mean_srf,median_srf,std_srf
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.3,1,2800,3.238536684661047,0.012402258782649559,327.9343963304876
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.3,2,2800,-1.456212799107678,0.027533404868298424,66.72264901776518
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,circle,0.1,0,3600,0.7031710691796262,0.23553330918043874,25.333086391332458
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,circle,0.2,0,3200,0.4617452346337753,0.2733723297200594,7.784087864304885
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,circle,0.3,0,2800,0.10971953683367984,0.27979638336808177,6.917579577494968
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.1,0,3600,0.5478677698144845,0.5009901092872967,5.782211108208386
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.2,0,3200,0.7545768143967564,0.5070348646528038,3.9196346609803197
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.3,0,2800,0.6522500135304852,0.48457105960868174,4.5950332109221925
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,star,0.1,0,3600,0.16247486853875182,0.25444968123270884,3.4136288571138804
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,star,0.1,1,3600,-0.27786608086614195,0.04661038021822873,29.650216432413313
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,star,0.2,0,3200,-0.2076070448457127,0.25003002186470574,39.99524685514843
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,star,0.2,1,3200,-9.611418854555755,-0.001088737406271711,369.8480736610322
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,star,0.3,0,2800,-0.32819033764842165,0.30947969009284426,36.40899264427836
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,star,0.3,1,2800,-0.6288873159318542,-0.0007636846035142459,15.488492030009137
synthetic,llama-8b-instruct,rigid:rigid,model_induced,chain,0.1,0,450,0.3658687081679541,0.6809261864124518,5.252885254238856
synthetic,llama-8b-instruct,rigid:rigid,model_induced,chain,0.1,1,450,0.45005835281985124,0.6977720305438201,4.098835546782032
synthetic,llama-8b-instruct,rigid:rigid,model_induced,chain,0.1,2,450,0.5742761284867369,0.6900521697329052,3.896614606874043
synthetic,llama-8b-instruct,rigid:rigid,model_induced,chain,0.2,0,400,0.9692552406059696,0.7371453305484139,13.741106753523509
synthetic,llama-8b-instruct,rigid:rigid,model_induced,chain,0.2,1,400,0.36964683695339273,0.6773731853915088,4.465855376422424
synthetic,llama-8b-instruct,rigid:rigid,model_induced,chain,0.2,2,400,0.525969127826912,0.696148857892733,3.9700766359836432
synthetic,llama-8b-instruct,rigid:rigid,model_induced,chain,0.3,0,350,0.9356346345349528,0.7109941692089778,7.0324382740973554
synthetic,llama-8b-instruct,rigid:rigid,model_induced,chain,0.3,1,350,0.5383691645026593,0.6510935969361662,3.0455803189650976
synthetic,llama-8b-instruct,rigid:rigid,model_induced,chain,0.3,2,350,0.5707713312314776,0.697342210789546,5.260277521764173
synthetic,llama-8b-instruct,rigid:rigid,model_induced,circle,0.1,0,450,0.0593689034677008,0.6874731474075831,8.691262054010844
synthetic,llama-8b-instruct,rigid:rigid,model_induced,circle,0.2,0,400,2.5424258498394967,0.6187260659055296,28.297986185569854
synthetic,llama-8b-instruct,rigid:rigid,model_induced,circle,0.3,0,349,0.9812179834139506,0.7172587902728246,9.374300696032622
synthetic,llama-8b-instruct,rigid:rigid,model_induced,fc,0.1,0,448,-0.5537477511163498,0.4080406408513465,16.121021019732495
synthetic,llama-8b-instruct,rigid:rigid,model_induced,fc,0.2,0,400,0.057435900174500426,0.27452544713557603,2.206461824337082
synthetic,llama-8b-instruct,rigid:rigid,model_induced,fc,0.3,0,350,1.1647738571749033,0.24351333139824566,9.250371169159404
synthetic,llama-8b-instruct,rigid:rigid,model_induced,star,0.1,0,450,0.4133206431811535,0.40026133966592436,2.454051716810099
synthetic,llama-8b-instruct,rigid:rigid,model_induced,star,0.1,1,450,0.8309425677441918,0.5350745785422102,3.1877081249222576
synthetic,llama-8b-instruct,rigid:rigid,model_induced,star,0.2,0,400,0.2965742191150099,0.8017149870242493,3.3144915579970804
synthetic,llama-8b-instruct,rigid:rigid,model_induced,star,0.2,1,400,0.8407523964367739,0.46351540743085484,4.042178703877216
synthetic,llama-8b-instruct,rigid:rigid,model_induced,star,0.3,0,350,6.284204047054051,0.6909432920707992,119.4669515254368
synthetic,llama-8b-instruct,rigid:rigid,model_induced,star,0.3,1,350,-0.09670525484178463,0.42813723079768795,2.308056527308824
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,chain,0.1,0,450,-2.360455434041639,-1.3640757718696785,11.258616239945423
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,chain,0.1,1,449,-4.598007974647834,-1.608902911158348,44.2551168075348
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,chain,0.1,2,449,0.6064188832236452,-1.4662030202064744,55.80370165707006
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,chain,0.2,0,400,-1.7350889029061887,-1.4834414694480187,17.547220741302507
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,chain,0.2,1,399,-1.383117768460272,-1.6007794242146964,23.871161665012778
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,chain,0.2,2,399,-1.6906999446339994,-1.4760041614636292,3.4906645435613592
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,chain,0.3,0,350,-3.2658704842924564,-1.4342696625390334,30.411324315117902
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,chain,0.3,1,349,-2.5145290903325055,-1.598226943155356,6.876607492632767
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,chain,0.3,2,349,-1.6629087745865228,-1.5120903298249855,8.495944073956602
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,circle,0.1,0,450,-0.7651788880756136,-0.8390470735625429,8.171864571310454
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,circle,0.2,0,400,-1.1236088675599774,-0.7911012825158051,4.529595380624967
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,circle,0.3,0,350,-1.8713784237524835,-0.8633042280915071,7.961123331238168
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,fc,0.1,0,441,-4.669928023559147,-0.5619964830514954,117.97757485978725
