dataset,model_key,prompt_strategy,model_condition,topology,minority_ratio,position_config,n_agents,ev_cr_0.5,ev_cr_1.0,mean_shift,std_shift
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,star,0.1,0,1800,0.8516666666666667,0.76,2.870041288505968,2.086080723632205
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,star,0.1,1,1800,0.8383333333333334,0.7394444444444445,2.341311030285869,1.7539385246002397
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,star,0.2,0,1600,0.8725,0.78125,2.9951269177444284,2.078307620486254
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,star,0.2,1,1600,0.858125,0.78875,2.4929498140106308,1.8392474242721895
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,star,0.3,0,1400,0.8364285714285714,0.7771428571428571,2.7599506838972525,2.076349660034191
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,star,0.3,1,1400,0.8871428571428571,0.8028571428571428,2.5163114048097706,1.7296402364019485
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.1,0,3600,0.605,0.35805555555555557,0.7521971780521648,0.912585616742111
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.1,1,3600,0.5830555555555555,0.335,0.7045842633527105,0.8978202196590339
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.1,2,3600,0.5572222222222222,0.3080555555555556,0.6636521969095457,0.9008701871349627
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.2,0,3200,0.609375,0.3675,0.7573028657316911,0.910766740269458
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.2,1,3200,0.5725,0.3303125,0.692005393571134,0.9000390088566639
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.2,2,3200,0.5453125,0.2978125,0.6386930799129903,0.8704447813779916
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.3,0,2800,0.6114285714285714,0.37107142857142855,0.7756541635680723,0.9211165091338792
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.3,1,2800,0.5728571428571428,0.3267857142857143,0.6996749997134086,0.906948624441923
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.3,2,2800,0.5514285714285714,0.3092857142857143,0.6552747299803325,0.8873922158121026
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,circle,0.1,0,3600,0.6125,0.3913888888888889,0.8228564008046447,0.9778393805257845
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,circle,0.2,0,3200,0.61125,0.3796875,0.8025193275432657,0.9751371757242345
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,circle,0.3,0,2800,0.6207142857142857,0.38107142857142856,0.7946985240616173,0.9774139298509472
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.1,0,3600,0.6513888888888889,0.42583333333333334,0.874871293109346,0.9932346272094106
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.2,0,3200,0.6546875,0.4425,0.909018098522794,0.9976104604788573
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.3,0,2800,0.6671428571428571,0.4382142857142857,0.8873852257593051,1.0297146172897582
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,star,0.1,0,3600,0.6161111111111112,0.3711111111111111,0.777429647960944,0.9694535260873393
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,star,0.1,1,3600,0.6775,0.4513888888888889,0.911994064662437,0.9295146891595512
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,star,0.2,0,3200,0.6203125,0.384375,0.7882068087951692,0.9399798465686131
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,star,0.2,1,3200,0.671875,0.43125,0.8660836217193056,0.8939911202862509
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,star,0.3,0,2800,0.5939285714285715,0.3489285714285714,0.7255034246352813,0.9755310055847455
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,star,0.3,1,2800,0.635,0.39535714285714285,0.8454805880178138,0.8539057675893785
synthetic,llama-8b-instruct,rigid:rigid,model_induced,chain,0.1,0,450,0.18444444444444444,0.06444444444444444,-0.2494028855258624,0.8958526562807408
synthetic,llama-8b-instruct,rigid:rigid,model_induced,chain,0.1,1,450,0.15333333333333332,0.06,-0.2640338897305634,0.8612278918498908
synthetic,llama-8b-instruct,rigid:rigid,model_induced,chain,0.1,2,450,0.13777777777777778,0.03777777777777778,-0.35037473380130824,0.8517352337546873
synthetic,llama-8b-instruct,rigid:rigid,model_induced,chain,0.2,0,400,0.19,0.055,-0.18907363956600956,0.8562751823640415
synthetic,llama-8b-instruct,rigid:rigid,model_induced,chain,0.2,1,400,0.14,0.0325,-0.3061438177099785,0.8435796513897499
synthetic,llama-8b-instruct,rigid:rigid,model_induced,chain,0.2,2,400,0.15,0.04,-0.3203370052604963,0.8578765417260511
synthetic,llama-8b-instruct,rigid:rigid,model_induced,chain,0.3,0,350,0.16857142857142857,0.06,-0.2147920344663367,0.8426710258427681
synthetic,llama-8b-instruct,rigid:rigid,model_induced,chain,0.3,1,350,0.15714285714285714,0.037142857142857144,-0.30266534852428856,0.8348685286687374
synthetic,llama-8b-instruct,rigid:rigid,model_induced,chain,0.3,2,350,0.14857142857142858,0.05142857142857143,-0.3200048408203431,0.8739096347534471
synthetic,llama-8b-instruct,rigid:rigid,model_induced,circle,0.1,0,450,0.2644444444444444,0.09777777777777778,-0.10307036472177111,0.9236909537941588
synthetic,llama-8b-instruct,rigid:rigid,model_induced,circle,0.2,0,400,0.255,0.115,-0.07974334264183626,0.937703614130701
synthetic,llama-8b-instruct,rigid:rigid,model_induced,circle,0.3,0,349,0.2722063037249284,0.11174785100286533,-0.02358848756117926,0.8800959005156362
synthetic,llama-8b-instruct,rigid:rigid,model_induced,fc,0.1,0,448,0.33705357142857145,0.125,0.10690126131970876,0.8422369569000275
synthetic,llama-8b-instruct,rigid:rigid,model_induced,fc,0.2,0,400,0.3125,0.1725,0.24646228279364835,0.8533957133195877
synthetic,llama-8b-instruct,rigid:rigid,model_induced,fc,0.3,0,350,0.37714285714285717,0.18,0.12214127941008822,0.8965602402895255
synthetic,llama-8b-instruct,rigid:rigid,model_induced,star,0.1,0,450,0.23777777777777778,0.14,-0.06710283351225123,0.8808902350809013
synthetic,llama-8b-instruct,rigid:rigid,model_induced,star,0.1,1,450,0.34444444444444444,0.08666666666666667,0.08434452986371598,0.8344523143961275
synthetic,llama-8b-instruct,rigid:rigid,model_induced,star,0.2,0,400,0.2775,0.125,0.09583914732154711,0.75236709301997
synthetic,llama-8b-instruct,rigid:rigid,model_induced,star,0.2,1,400,0.24,0.08,-0.15940715936290223,0.8221539571697914
synthetic,llama-8b-instruct,rigid:rigid,model_induced,star,0.3,0,350,0.29714285714285715,0.15142857142857144,0.15548498826649465,0.7801836438098464
synthetic,llama-8b-instruct,rigid:rigid,model_induced,star,0.3,1,350,0.09428571428571429,0.06,-0.5899864088804775,0.9059303794343263
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,chain,0.1,0,450,0.9311111111111111,0.9088888888888889,1.9416290033575596,0.7220982743239938
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,chain,0.1,1,450,0.9488888888888889,0.9355555555555556,1.9599516815229632,0.6433295429500505
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,chain,0.1,2,450,0.9555555555555556,0.9288888888888889,1.96273469165342,0.6654450154303858
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,chain,0.2,0,400,0.955,0.95,2.0251430018591248,0.6629562064189194
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,chain,0.2,1,400,0.955,0.93,1.9764476399697213,0.649118484424704
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,chain,0.2,2,400,0.93,0.9025,1.9180927800187488,0.7329513335420673
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,chain,0.3,0,350,0.9514285714285714,0.9371428571428572,1.9643445355020797,0.6351023384576394
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,chain,0.3,1,350,0.9628571428571429,0.9285714285714286,1.954960506740531,0.6356163214869254
