dataset,model_key,prompt_strategy,model_condition,topology,minority_ratio,position_config,n,entropy_baseline_mean,entropy_baseline_std,entropy_r0_mean,entropy_r0_std,entropy_r1_mean,entropy_r1_std,entropy_r2_mean,entropy_r2_std,entropy_r3_mean,entropy_r3_std,entropy_r4_mean,entropy_r4_std,entropy_shadow_mean,entropy_shadow_std,entropy_recovery
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,star,0.3,0,350,1.8295389730199823,0.34117766000916566,1.9064255551295846,0.33777040921670215,1.7627129391854064,0.2550428444881015,1.6703421477044786,0.2768584436352537,1.6318902102146964,0.310930304554095,1.647478490740287,0.2899126375959091,1.737490164387215,0.46080349314039626,0.09001167364692786
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,star,0.3,1,350,1.8296822723474926,0.34096077836513805,2.231125607546901,0.15440281009748585,2.221418595701841,0.18293478260839033,2.2041575351105194,0.15810801740057578,2.1873559804083977,0.17700402104492385,2.1802887625368848,0.16540307464643272,1.9060670637841008,0.5055173183852999,-0.2742216987527839
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,chain,0.1,0,450,1.856926032697466,0.2754756787931352,1.1081950294049083,0.4588534657512332,0.8254086451460606,0.5459474507686731,0.7403414043367861,0.49355984535066116,0.725143606789127,0.5203579079730491,0.7173768295996837,0.5324631820571112,0.9658954561533988,0.35161869840764964,0.24851862655371504
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,chain,0.1,1,450,1.8573485190151122,0.27492950329295957,1.0879477731616196,0.466456803905244,0.8657769284412954,0.5381803977154567,0.7998059389553329,0.5120465332898423,0.8090067927575668,0.5287389799512345,0.7993034453532661,0.526049814034862,0.9837940208178838,0.37792460879477313,0.18449057546461767
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,chain,0.1,2,450,1.8571458027093781,0.27503392509973934,1.0647099517024692,0.44870408354068,0.7994622850861933,0.5266476731067734,0.7525485553845341,0.49102949146841274,0.727710578263902,0.5150862042850195,0.7131186041523537,0.5044994680917965,0.9528652052921921,0.372304698203369,0.23974660113983837
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,chain,0.2,0,400,1.8566103822919546,0.27489395565770963,1.113167088629614,0.45311569151368125,0.8305300064674829,0.5418356841577016,0.7576592603001785,0.5058090540327791,0.7366441359231181,0.5094159555004566,0.7386413322487658,0.52412196255696,0.9674525847506038,0.35964064308354454,0.22881125250183798
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,chain,0.2,1,400,1.8567220150059156,0.2749154685664816,1.1159194844488731,0.4540712935172932,0.8903492385575694,0.539814983205588,0.8180383279166143,0.5062620951193615,0.8368349552956386,0.5236347928033068,0.8442172970852562,0.5207606331040371,0.9668401483617223,0.37840528339827634,0.1226228512764661
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,chain,0.2,2,400,1.856788023143057,0.27507228975598175,1.0543203657966316,0.44186543365975983,0.8077316152823178,0.524340608675644,0.7572066327630962,0.49743763275858266,0.7372676136019837,0.5119292975658377,0.7241349869632866,0.5044987606770156,0.962708479553717,0.3691718475834104,0.23857349259043037
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,chain,0.3,0,350,1.8563011516500922,0.27471443365276815,1.110131148223722,0.45199153671426323,0.8356019348245581,0.5422506856367112,0.7538025442171711,0.5195404122864804,0.7213265988771845,0.5181459727371899,0.6988137207075741,0.5400356218858747,0.9693937240919084,0.3607156720238614,0.2705800033843343
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,chain,0.3,1,350,1.8563608354322632,0.2751882436694651,1.1115990366030566,0.4607281370012293,0.9054924483960701,0.5371641596093901,0.8268430359740125,0.518698585355414,0.8507525323794953,0.5368068958044766,0.8266570550128894,0.5306894452952353,0.965064370433052,0.36715385174813375,0.1384073154201626
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,chain,0.3,2,350,1.8568291282573923,0.27491976403681634,1.051521036428695,0.44166003022128314,0.8171201004515994,0.521616101661342,0.7647609849210872,0.502906021001716,0.7471125431354034,0.5185934344713867,0.7073845548490403,0.5110912655485914,0.93777343624244,0.36906798788686357,0.23038888139339975
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,circle,0.1,0,450,1.8567244595854315,0.27481997514157525,1.1156809230811409,0.4873937895650787,0.7126198421156553,0.5394421966438769,0.6993531380998615,0.49614197488831197,0.6273681095255383,0.5030291723885778,0.5713466424056032,0.4910212388381468,0.951939213715369,0.3538399141340129,0.38059257130976587
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,circle,0.2,0,400,1.85630902635226,0.27498471637026695,1.1052268342823068,0.49345793993244647,0.7025783165990436,0.538939022326111,0.6862009962557886,0.4852975761737701,0.6291151528945202,0.48175128412655355,0.56857610371639,0.46808190316092924,0.9654986843832952,0.3347318299189048,0.3969225806669052
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,circle,0.3,0,350,1.8569303288339447,0.2749285991863752,1.1125219796823398,0.47853904992963187,0.7291824749550224,0.5409306172691452,0.6970975011202074,0.49705803851871666,0.5997548126500722,0.5194279754676437,0.5556018447533433,0.4694650052980829,0.9715336878710752,0.3499659536984008,0.4159318431177319
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,fc,0.1,0,450,1.856597165813582,0.2758634386973791,1.1228836946516354,0.5044780019563037,0.5554566334422826,0.4624359300855775,0.4400323366271073,0.3661028472126677,0.4571052457191926,0.3614226268302972,0.42283449580260735,0.3472108220465273,0.9339367233583011,0.3508405378278376,0.5111022275556938
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,fc,0.2,0,400,1.8564484444847256,0.27497799752504093,1.0506125230163594,0.5044311804333304,0.5106235042297501,0.4608398848127636,0.4074049282414956,0.3720932398259754,0.3749760258079473,0.3161902122004668,0.3397952776918436,0.338878606968878,0.9974299715946653,0.3207675400200969,0.6576346939028217
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,fc,0.3,0,350,1.8572059460157002,0.2745214131547886,1.0888238467154545,0.5170246171702261,0.5256722242904824,0.4774792559834576,0.4328592170786845,0.37813900812308177,0.33724308774733364,0.3036313824078758,0.3266725542459487,0.29777256633726035,0.9971222059100469,0.3485963981487933,0.6704496516640981
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,star,0.1,0,450,1.8562492817314782,0.27547599297413594,1.0354420635458101,0.4480276049471822,0.65959004390872,0.5297021481624953,0.6299204802499229,0.5219129726063628,0.6465685452180133,0.46840828013670577,0.6990016085633375,0.47612170377763763,0.9825615813067644,0.4017519036298076,0.2835599727434269
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,star,0.1,1,450,1.8565899644158794,0.27508752310278095,1.3941350984704017,0.4380069840082023,1.2434764879259435,0.45947640112085597,1.2087903965955946,0.410728328337878,1.1626317673334725,0.4730030481914385,1.2207683368675124,0.46332454916660853,1.021495544287456,0.27997176628007453,-0.19927279258005637
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,star,0.2,0,400,1.857297433596923,0.2746338602061692,1.030312860738439,0.4479334349584052,0.6797407997125196,0.522013787756932,0.6800694189255831,0.5351624219759435,0.654331266170124,0.5258891324119203,0.6790281058338783,0.517695395710308,0.956617584902471,0.3410739781654126,0.27758947906859266
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,star,0.2,1,400,1.8566094212087751,0.27507627429132964,1.3801711332483177,0.4374509836743949,1.2773599581039132,0.47881274479141367,1.2372383638222195,0.4812740412502583,1.2172599325540352,0.5046728161711793,1.2789805971434007,0.5141133502506682,1.0103490097236187,0.3818107576048033,-0.268631587419782
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,star,0.3,0,350,1.8564803842237876,0.2748978343480405,1.0456319208379858,0.45104765852860856,0.741450782758203,0.5445773132621303,0.7333184666701312,0.5280887923716138,0.6962121404306361,0.5289086830515454,0.7511754243913576,0.5159985340324729,0.9368125389709374,0.34820262495075294,0.18563711457957977
synthetic,qwen-7b-instruct,rigid:rigid,prompt_induced,star,0.3,1,350,1.8563620686355269,0.27381802284793555,1.3745457734991335,0.4863153517427338,1.2201992437924774,0.5261146855076823,1.2348536702750095,0.4992196965799739,1.2120348097593128,0.4801682408434264,1.2482359402885423,0.4304903594175282,1.0866751225590348,0.33878352044411986,-0.1615608177295076
