dataset,model_key,prompt_strategy,model_condition,topology,minority_ratio,position_config,mean_semantic_drift,mean_mirroring,n
synthetic,llama-8b-instruct,rigid:rigid,model_induced,chain,0.3,0,0.29605352827480863,0.6135658705234528,350
synthetic,llama-8b-instruct,rigid:rigid,model_induced,chain,0.3,1,0.3228484174183437,0.640836375951767,350
synthetic,llama-8b-instruct,rigid:rigid,model_induced,chain,0.3,2,0.29525597657476155,0.6312661291871752,350
synthetic,llama-8b-instruct,rigid:rigid,model_induced,circle,0.1,0,0.24903367704815335,0.689208617342843,450
synthetic,llama-8b-instruct,rigid:rigid,model_induced,circle,0.2,0,0.2637405700981617,0.6682317028939724,400
synthetic,llama-8b-instruct,rigid:rigid,model_induced,circle,0.3,0,0.2609011697769165,0.6443498853274754,350
synthetic,llama-8b-instruct,rigid:rigid,model_induced,fc,0.1,0,0.30695900281270344,0.7615515082412296,450
synthetic,llama-8b-instruct,rigid:rigid,model_induced,fc,0.2,0,0.3084245367348194,0.7304601413011551,400
synthetic,llama-8b-instruct,rigid:rigid,model_induced,fc,0.3,0,0.3045934006146022,0.7401267686911992,350
synthetic,llama-8b-instruct,rigid:rigid,model_induced,star,0.1,0,0.28150717351171706,0.7058961839146084,450
synthetic,llama-8b-instruct,rigid:rigid,model_induced,star,0.1,1,0.30676748341984217,0.7241014156076643,450
synthetic,llama-8b-instruct,rigid:rigid,model_induced,star,0.2,0,0.25728931739926336,0.6778621403872966,400
synthetic,llama-8b-instruct,rigid:rigid,model_induced,star,0.2,1,0.31429687172174453,0.7044809947907925,400
synthetic,llama-8b-instruct,rigid:rigid,model_induced,star,0.3,0,0.2863232777799879,0.6755487176350184,350
synthetic,llama-8b-instruct,rigid:rigid,model_induced,star,0.3,1,0.33110583782196046,0.6763309018952506,350
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,chain,0.1,0,0.29059357444445294,0.579345797697703,450
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,chain,0.1,1,0.2860421958234575,0.6613522575961219,450
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,chain,0.1,2,0.2774871190388997,0.6423430066638522,450
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,chain,0.2,0,0.2932116661965847,0.5758865742385387,400
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,chain,0.2,1,0.29605428233742714,0.6396447712182999,400
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,chain,0.2,2,0.28543856605887413,0.6443822118639946,400
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,chain,0.3,0,0.29740913169724603,0.5837643798760005,350
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,chain,0.3,1,0.3002711158139365,0.6513407327447619,350
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,chain,0.3,2,0.2855432748794556,0.6447333935328893,350
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,circle,0.1,0,0.26093786226378546,0.6671716996033986,450
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,circle,0.2,0,0.2583594053983688,0.6521306870877743,400
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,circle,0.3,0,0.27408600398472377,0.6124417889118194,350
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,fc,0.1,0,0.27809758226076764,0.7731423562102847,450
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,fc,0.2,0,0.28539835825562476,0.7271615439653396,400
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,fc,0.3,0,0.3181571696485792,0.7169119713987623,350
