dataset,model_key,prompt_strategy,model_condition,topology,minority_ratio,position_config,n,baseline_ev_mean,baseline_ev_std,final_ev_mean,final_ev_std,shadow_ev_mean,shadow_ev_std,shift_final,shift_shadow
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,fc,0.2,0,392,3.8419726001613728,0.33102011539075343,4.890476834847995,0.8512483342058934,5.619048095472911,0.6948851883924717,1.048504234686622,1.777075495311538
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,fc,0.3,0,345,3.848583804829807,0.3388851729339401,4.745941013319937,0.6414307546335114,5.626463260340338,0.7130065097291327,0.8973572084901305,1.777879455510531
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,star,0.1,0,449,3.850950824510898,0.338557774763386,4.465779811087642,0.5443218831496347,5.4839528768309105,0.9458306588027924,0.614828986576744,1.6330020523200126
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,star,0.1,1,450,3.851879151024791,0.3387013176971499,4.566060261557266,0.3268019119929314,6.049715413272807,0.3256131824164277,0.7141811105324747,2.197836262248016
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,star,0.2,0,400,3.85099752353876,0.33855901247294,4.526450474376088,0.5465663590561186,5.646466984357999,0.7906672216360473,0.6754529508373284,1.795469460819239
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,star,0.2,1,400,3.850746081563863,0.33886458786528223,4.516388411452327,0.42012272756765834,5.970277510988015,0.4986180507271826,0.6656423298884642,2.1195314294241516
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,star,0.3,0,350,3.851403151896162,0.3389116485708097,4.4160099413549245,0.44013327890008724,5.667126086127352,0.7147833445790597,0.5646067894587627,1.8157229342311902
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,star,0.3,1,350,3.851700272072098,0.33805987371384416,4.103495127040863,0.36943803892489535,5.62566764926357,1.007875261621311,0.25179485496876497,1.7739673771914721
synthetic,qwen-7b-base,rigid:rigid,model_induced,chain,0.1,0,417,3.3948483159235,0.15034814284875161,4.3111629561843205,0.5708983072923502,4.439276460456027,0.5035813584160118,0.9163146402608207,1.0444281445325267
synthetic,qwen-7b-base,rigid:rigid,model_induced,chain,0.1,1,422,3.395261684319219,0.1548393042165076,4.171008416856117,0.6381817525486632,4.39251212287885,0.5643711600047682,0.7757467325368981,0.997250438559631
synthetic,qwen-7b-base,rigid:rigid,model_induced,chain,0.1,2,450,3.3972989684154946,0.15510080066545692,4.201822307282714,0.4772830862079956,4.351408726840314,0.4837001099495746,0.8045233388672193,0.9541097584248197
synthetic,qwen-7b-base,rigid:rigid,model_induced,chain,0.2,0,346,3.397176596703786,0.15052529329113282,4.3733396253189,0.5534849502899187,4.481219144091985,0.579571664588147,0.9761630286151144,1.084042547388199
synthetic,qwen-7b-base,rigid:rigid,model_induced,chain,0.2,1,365,3.4000433843922284,0.15158378860016297,4.246802781538719,0.6588698329984894,4.38040332592393,0.7286200116060261,0.8467593971464904,0.9803599415317015
synthetic,qwen-7b-base,rigid:rigid,model_induced,chain,0.2,2,397,3.3966935915384693,0.15359838294439807,4.175557296148106,0.43177891124418605,4.344782316628031,0.5320404437626953,0.7788637046096363,0.9480887250895615
synthetic,qwen-7b-base,rigid:rigid,model_induced,chain,0.3,0,296,3.3986080637395197,0.154326201854319,4.381160983390579,0.700827993538322,4.514030748803737,0.6965548900308443,0.9825529196510594,1.1154226850642175
synthetic,qwen-7b-base,rigid:rigid,model_induced,chain,0.3,1,311,3.4021412469385583,0.15626977289830432,4.17948254368885,0.6046774738121579,4.364821653875033,0.5317697428369091,0.7773412967502913,0.9626804069364749
synthetic,qwen-7b-base,rigid:rigid,model_induced,chain,0.3,2,346,3.396279822901955,0.15493740112489318,4.183243806086533,0.3608955906619271,4.35928359235678,0.4183078609782327,0.7869639831845778,0.9630037694548252
synthetic,qwen-7b-base,rigid:rigid,model_induced,circle,0.1,0,360,3.3938412790432935,0.149462184971571,4.432201811314661,0.8735477762167699,4.530370625258512,0.8261823659389785,1.0383605322713674,1.1365293462152186
synthetic,qwen-7b-base,rigid:rigid,model_induced,circle,0.2,0,292,3.4017983388284887,0.14542627075414027,4.4839307348315804,0.8987673850099929,4.533208187872816,0.7835095376505368,1.0821323960030917,1.1314098490443274
synthetic,qwen-7b-base,rigid:rigid,model_induced,circle,0.3,0,234,3.386112116585138,0.1526727945803251,4.589762572031757,0.7817812155454381,4.576869916141791,0.8139519669400322,1.2036504554466192,1.190757799556653
synthetic,qwen-7b-base,rigid:rigid,model_induced,fc,0.1,0,70,3.482207392475923,0.18869589812932938,4.034012192780258,1.668134442961316,4.5564207415424125,0.6502634765375764,0.551804800304335,1.0742133490664894
synthetic,qwen-7b-base,rigid:rigid,model_induced,fc,0.2,0,50,3.445238793913974,0.21391949213755385,4.5737214786765,1.093659899596758,4.4187357821923525,1.0417630956506454,1.1284826847625262,0.9734969882783786
synthetic,qwen-7b-base,rigid:rigid,model_induced,fc,0.3,0,13,3.5101193395624226,0.17761509376762186,5.2923701027497225,0.7811600650240069,5.083173811648834,0.5003004970479819,1.7822507631873,1.5730544720864112
synthetic,qwen-7b-base,rigid:rigid,model_induced,star,0.1,0,285,3.3833754476282167,0.13381505496535542,4.425698883713141,1.0560780619754435,4.514682472720636,0.670375581866384,1.0423234360849238,1.1313070250924189
synthetic,qwen-7b-base,rigid:rigid,model_induced,star,0.1,1,261,3.3732165416279805,0.14913738357503345,4.42313453531199,0.8400361335916987,4.62570673119265,0.7544220162125364,1.04991799368401,1.2524901895646692
synthetic,qwen-7b-base,rigid:rigid,model_induced,star,0.2,0,189,3.3788925109254504,0.15301125429612475,4.462410856057085,0.8092982761369163,4.566950556748708,0.6504880920347396,1.0835183451316346,1.1880580458232575
synthetic,qwen-7b-base,rigid:rigid,model_induced,star,0.2,1,112,3.4016994998869223,0.1417539319182798,4.782404365830229,0.8792265360146432,4.742625555130583,0.5557955128375753,1.3807048659433065,1.3409260552436604
synthetic,qwen-7b-base,rigid:rigid,model_induced,star,0.3,0,194,3.346553396640562,0.13358897564155417,4.3556175196565885,1.1815826051986607,4.335772693656187,1.1596833025361,1.0090641230160267,0.9892192970156253
synthetic,qwen-7b-base,rigid:rigid,model_induced,star,0.3,1,91,3.3746385772377083,0.14639809181209923,4.791216573570122,0.9349701278832415,4.617162552489581,0.6110531464564373,1.416577996332414,1.2425239752518724
