dataset,model_key,prompt_strategy,model_condition,topology,minority_ratio,position_config,mean_rho,std_rho,n
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,star,0.1,1,1.482647290499917,0.6269656099736762,3600
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,star,0.2,0,1.28187212657946,0.6277286472302568,3200
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,star,0.2,1,1.5597527945026899,0.6368520934700775,3200
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,star,0.3,0,1.2775460338068065,0.6521818515808652,2800
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,star,0.3,1,1.6546907740907746,0.6298789601106682,2800
synthetic,llama-8b-instruct,rigid:rigid,model_induced,chain,0.1,0,1.944032772754202,1.382973527881107,450
synthetic,llama-8b-instruct,rigid:rigid,model_induced,chain,0.1,1,1.9587731023725432,1.4029437453855655,450
synthetic,llama-8b-instruct,rigid:rigid,model_induced,chain,0.1,2,2.078608700236138,1.4014387366845718,450
synthetic,llama-8b-instruct,rigid:rigid,model_induced,chain,0.2,0,2.022073821864289,1.495638921353997,400
synthetic,llama-8b-instruct,rigid:rigid,model_induced,chain,0.2,1,1.9567364970363463,1.420767384152719,400
synthetic,llama-8b-instruct,rigid:rigid,model_induced,chain,0.2,2,2.084953575337029,1.3985876039300111,400
synthetic,llama-8b-instruct,rigid:rigid,model_induced,chain,0.3,0,1.9768840068703146,1.4425547209830938,350
synthetic,llama-8b-instruct,rigid:rigid,model_induced,chain,0.3,1,1.9245613176525314,1.3754265075835053,350
synthetic,llama-8b-instruct,rigid:rigid,model_induced,chain,0.3,2,2.098014343975035,1.4219256344694147,350
synthetic,llama-8b-instruct,rigid:rigid,model_induced,circle,0.1,0,1.8784180580645675,1.4595470882805934,450
synthetic,llama-8b-instruct,rigid:rigid,model_induced,circle,0.2,0,1.8822472745608056,1.465069100327994,400
synthetic,llama-8b-instruct,rigid:rigid,model_induced,circle,0.3,0,1.8932360725466544,1.546944724748209,350
synthetic,llama-8b-instruct,rigid:rigid,model_induced,fc,0.1,0,0.7249751193315325,0.5350710178839423,450
synthetic,llama-8b-instruct,rigid:rigid,model_induced,fc,0.2,0,0.8096917786301654,0.6146307114213155,400
synthetic,llama-8b-instruct,rigid:rigid,model_induced,fc,0.3,0,0.8521095369101366,0.7966139811508185,350
synthetic,llama-8b-instruct,rigid:rigid,model_induced,star,0.1,0,1.8796435236035876,1.5502499655751218,450
synthetic,llama-8b-instruct,rigid:rigid,model_induced,star,0.1,1,0.9304596969127646,0.40820840033396333,450
synthetic,llama-8b-instruct,rigid:rigid,model_induced,star,0.2,0,1.9293871729481276,1.6094764018473846,400
synthetic,llama-8b-instruct,rigid:rigid,model_induced,star,0.2,1,1.1039133144311508,0.6996635989779694,400
synthetic,llama-8b-instruct,rigid:rigid,model_induced,star,0.3,0,2.1357227273161086,1.7373531463791905,350
synthetic,llama-8b-instruct,rigid:rigid,model_induced,star,0.3,1,1.3798790482656993,0.8801476792449278,350
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,chain,0.1,0,0.7026927617938509,0.4495390146321226,450
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,chain,0.1,1,0.6546466737285336,0.39380675771145685,450
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,chain,0.1,2,0.7002967803994332,0.42968847693745255,450
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,chain,0.2,0,0.6780999011290237,0.37566119800742936,400
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,chain,0.2,1,0.6285646915356549,0.36098856996333717,400
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,chain,0.2,2,0.7114738891280012,0.4797711214267183,400
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,chain,0.3,0,0.6903752867036119,0.4001119704967493,350
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,chain,0.3,1,0.6459213233817924,0.38583501488023086,350
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,chain,0.3,2,0.6898860263159688,0.41874447235506707,350
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,circle,0.1,0,0.8348181000378792,0.6862498925321897,450
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,circle,0.2,0,0.8449637443950664,0.6904012396811794,400
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,circle,0.3,0,0.8975642513385238,0.7048919529927548,350
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,fc,0.1,0,1.0071402574111619,0.9758961914005528,450
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,fc,0.2,0,1.0426208411013567,0.829938137605987,400
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,fc,0.3,0,1.2610263642817874,0.9094469544355639,350
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,star,0.1,0,0.7501974676204284,0.4904669340985356,450
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,star,0.1,1,0.478935912020261,0.2773173355669649,450
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,star,0.2,0,0.7315450946698451,0.5160209095382345,400
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,star,0.2,1,0.4627500642358484,0.2894317111347905,400
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,star,0.3,0,0.7116392311971786,0.3659962574859681,350
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,star,0.3,1,0.8449225110300789,0.6411687119429297,350
synthetic,qwen-7b-base,rigid:rigid,model_induced,chain,0.1,0,1.6201613312681953,1.0126390847029634,450
synthetic,qwen-7b-base,rigid:rigid,model_induced,chain,0.1,1,1.696685253019448,0.9417003985268618,450
synthetic,qwen-7b-base,rigid:rigid,model_induced,chain,0.1,2,1.752931483290137,0.9536930873768229,450
synthetic,qwen-7b-base,rigid:rigid,model_induced,chain,0.2,0,1.6121715009272288,0.9851053144487087,400
synthetic,qwen-7b-base,rigid:rigid,model_induced,chain,0.2,1,1.7195961082285243,1.00121530625909,400
synthetic,qwen-7b-base,rigid:rigid,model_induced,chain,0.2,2,1.8265533748922673,1.0168772714666003,400
synthetic,qwen-7b-base,rigid:rigid,model_induced,chain,0.3,0,1.5512446635499808,0.9862908045795297,350
synthetic,qwen-7b-base,rigid:rigid,model_induced,chain,0.3,1,1.7358772836750358,0.9808222683000938,350
synthetic,qwen-7b-base,rigid:rigid,model_induced,chain,0.3,2,1.83091567611363,0.98190666231722,350
synthetic,qwen-7b-base,rigid:rigid,model_induced,circle,0.1,0,1.4531593207995441,1.0060495871965598,450
synthetic,qwen-7b-base,rigid:rigid,model_induced,circle,0.2,0,1.4087999461954135,0.9785960505601371,400
synthetic,qwen-7b-base,rigid:rigid,model_induced,circle,0.3,0,1.4522955284740644,1.0057467546010668,350
synthetic,qwen-7b-base,rigid:rigid,model_induced,fc,0.1,0,1.1006256667678915,1.036542342575279,108
synthetic,qwen-7b-base,rigid:rigid,model_induced,fc,0.2,0,0.9893313682104696,0.3312272772824589,64
synthetic,qwen-7b-base,rigid:rigid,model_induced,fc,0.3,0,0.9438168796985213,0.6083514439279315,35
synthetic,qwen-7b-base,rigid:rigid,model_induced,star,0.1,0,1.4167846484067412,1.001250248970236,306
synthetic,qwen-7b-base,rigid:rigid,model_induced,star,0.1,1,1.1347684363800659,0.5787767624256913,288
synthetic,qwen-7b-base,rigid:rigid,model_induced,star,0.2,0,1.3387168161303482,0.9615991913069242,224
synthetic,qwen-7b-base,rigid:rigid,model_induced,star,0.2,1,1.3701091463432893,0.8271267658726236,176
synthetic,qwen-7b-base,rigid:rigid,model_induced,star,0.3,0,1.4300956134241003,0.9094726552798619,231
synthetic,qwen-7b-base,rigid:rigid,model_induced,star,0.3,1,1.3324173401094508,0.6435532334983008,133
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.1,0,1.4169490385320822,0.8224583176347965,1350
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.1,1,1.5260830921090656,0.853144855008728,1350
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.1,2,1.5414001727090214,0.8545003835082079,1350
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.2,0,1.427013335189232,0.8205938635278422,1200
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.2,1,1.5578314857824094,0.8632414878002066,1200
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.2,2,1.5652982753905955,0.8592519196769844,1200
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.3,0,1.4111772548291912,0.8163587206460741,1050
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.3,1,1.5657731080064163,0.8555669749060462,1050
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.3,2,1.5711744702626085,0.8546247261318737,1050
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,circle,0.1,0,1.267945694942028,0.7724642958034308,1350
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,circle,0.2,0,1.267961642419535,0.7609704319656349,1200
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,circle,0.3,0,1.2728676326701216,0.7760847538722585,1050
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.1,0,0.9108109907376916,0.6384083924735592,1350
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.2,0,0.8959232274104901,0.5673535538839107,1200
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.3,0,0.9683188171976387,0.6879648498333708,1050
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,star,0.1,0,1.2341162710021736,0.6818621475955754,1350
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,star,0.1,1,1.3702321922736551,0.862991049162854,1350
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,star,0.2,0,1.192209129144419,0.6634478835362433,1200
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,star,0.2,1,1.3757843520987016,0.8583319291365671,1200
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,star,0.3,0,1.2394601583216192,0.7364230235344025,1050
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,star,0.3,1,1.4127316302038841,0.8452539304626204,1050
